onset	duration	TrialID	WordID	response	response_time	stim_type	stim_file
2.020546863	1	73	334	1	1.570857209	foil	images/334.JPG
14.01812976	1	74	335	2	1.332559735	foil	images/335.JPG
26.03203955	1	75	336	2	2.133988423	foil	images/336.JPG
38.02955396	1	76	315	2	1.623953406	foil	images/315.JPG
50.02683509	1	77	304	2	1.737923159	foil	images/304.JPG
62.02421596	1	78	135	4	1.19597786	target	images/135.JPG
74.03839926	1	79	165	4	1.245118606	target	images/165.JPG
86.0191335	1	80	293	3	2.487693412	lure	images/293.JPG
98.03310406	1	81	325	2	1.745111971	foil	images/325.JPG
110.0305984	1	82	320	2	1.427775654	foil	images/320.JPG
122.0279702	1	83	195	2	1.62101068	target	images/195.JPG
134.0252826	1	84	231	2	2.295037515	lure	images/231.JPG
146.0228351	1	85	171	4	1.440876885	target	images/171.JPG
158.0201312	1	86	281	3	1.86691387	lure	images/281.JPG
170.0341955	1	87	187	4	2.372194726	target	images/187.JPG
182.0150997	1	88	323	1	1.470738601	foil	images/323.JPG
194.0290108	1	89	244	1	1.104165231	lure	images/244.JPG
206.0264867	1	90	294	2	1.538027941	lure	images/294.JPG
218.023835	1	91	301	2	2.252022348	foil	images/301.JPG
230.0211264	1	92	310	1	1.782134249	foil	images/310.JPG
242.0354689	1	93	232	1	2.855191761	lure	images/232.JPG
254.015898	1	94	274	2	1.978094132	lure	images/274.JPG
266.0299965	1	95	123	4	1.13938549	target	images/123.JPG
278.0273903	1	96	117	3	1.717356178	target	images/117.JPG
290.0247874	1	97	147	0	0	target	images/147.JPG
302.0221845	1	98	151	4	1.425293919	target	images/151.JPG
314.0196861	1	99	317	1	1.699136101	foil	images/317.JPG
326.0169552	1	100	309	4	0.381313967	foil	images/309.JPG
338.0310602	1	101	243	2	1.534566011	lure	images/243.JPG
350.0285104	1	102	251	1	1.872375998	lure	images/251.JPG
362.0258403	1	103	213	3	1.794539071	lure	images/213.JPG
374.0399509	1	104	113	2	1.603783212	target	images/113.JPG
386.0206316	1	105	197	2	3.006404228	target	images/197.JPG
398.0347276	1	106	221	3	1.967710482	lure	images/221.JPG
410.0322202	1	107	131	1	1.313561495	target	images/131.JPG
422.0295069	1	108	263	4	1.467580574	lure	images/263.JPG
