onset	duration	TrialID	WordID	stim_file
8.018654735	1	2	158	sounds/158.wav
20.03266784	1	3	152	sounds/152.wav
32.02993637	1	4	153	sounds/153.wav
44.02722773	1	5	151	sounds/151.wav
56.02453978	1	6	156	sounds/156.wav
68.02182051	1	7	155	sounds/155.wav
80.01909133	1	8	154	sounds/154.wav
92.03310914	1	9	157	sounds/157.wav
110.0290399	1	11	128	sounds/128.wav
122.0263262	1	12	123	sounds/123.wav
134.0235968	1	13	126	sounds/126.wav
146.0376063	1	14	127	sounds/127.wav
158.0181759	1	15	125	sounds/125.wav
170.0321808	1	16	121	sounds/121.wav
182.0294803	1	17	122	sounds/122.wav
194.0267762	1	18	124	sounds/124.wav
212.022713	1	20	165	sounds/165.wav
224.0199896	1	21	162	sounds/162.wav
236.0172793	1	22	161	sounds/161.wav
248.0312769	1	23	167	sounds/167.wav
260.0285559	1	24	166	sounds/166.wav
272.0258563	1	25	168	sounds/168.wav
284.0231412	1	26	163	sounds/163.wav
296.0371355	1	27	164	sounds/164.wav
