onset	duration	TrialID	WordID	stim_file
8.025666283	1	2	158	sounds/158.wav
20.02296483	1	3	152	sounds/152.wav
32.02025374	1	4	153	sounds/153.wav
44.03425371	1	5	151	sounds/151.wav
56.03153615	1	6	156	sounds/156.wav
68.02883528	1	7	155	sounds/155.wav
80.02611855	1	8	154	sounds/154.wav
92.02339968	1	9	157	sounds/157.wav
110.0193389	1	11	128	sounds/128.wav
122.0166326	1	12	123	sounds/123.wav
134.0306076	1	13	126	sounds/126.wav
146.0112022	1	14	127	sounds/127.wav
158.0251815	1	15	125	sounds/125.wav
170.0224858	1	16	121	sounds/121.wav
182.0197824	1	17	122	sounds/122.wav
194.0337732	1	18	124	sounds/124.wav
212.0297212	1	20	165	sounds/165.wav
224.0269965	1	21	162	sounds/162.wav
236.0242963	1	22	161	sounds/161.wav
248.0215879	1	23	167	sounds/167.wav
260.0188492	1	24	166	sounds/166.wav
272.0161559	1	25	168	sounds/168.wav
284.0301452	1	26	163	sounds/163.wav
296.0107496	1	27	164	sounds/164.wav
