onset	duration	TrialID	WordID	response	response_time	stim_type	stim_file
2.019192913	1	1	328	1	1.707652211	foil	images/328.JPG
14.03326101	1	2	329	1	1.036354819	foil	images/329.JPG
26.01388148	1	3	330	1	1.455649775	foil	images/330.JPG
38.02792475	1	4	319	2	1.472912268	foil	images/319.JPG
50.04214394	1	5	303	2	1.666623721	foil	images/303.JPG
62.02262872	1	6	171	4	1.244859454	target	images/171.JPG
74.03668012	1	7	261	4	1.83812293	lure	images/261.JPG
86.03402119	1	8	222	4	1.720054839	lure	images/222.JPG
98.03135156	1	9	157	4	1.186055689	target	images/157.JPG
110.0286969	1	10	293	2	1.995996197	lure	images/293.JPG
122.0427466	1	11	221	3	1.430199047	lure	images/221.JPG
134.0234938	1	12	243	4	1.704205705	lure	images/243.JPG
146.0375255	1	13	195	4	1.481110347	target	images/195.JPG
158.0180621	1	14	263	3	1.595896295	lure	images/263.JPG
170.0321002	1	15	125	3	1.49313374	target	images/125.JPG
182.0294494	1	16	197	4	1.271160679	target	images/197.JPG
194.0268983	1	17	181	4	0.953089079	target	images/181.JPG
206.0241392	1	18	113	2	1.49107063	target	images/113.JPG
218.0381782	1	19	167	3	1.756351874	target	images/167.JPG
230.018782	1	20	312	2	1.480049686	foil	images/312.JPG
242.0328433	1	21	322	2	1.360816067	foil	images/322.JPG
254.0302113	1	22	309	2	1.050287658	foil	images/309.JPG
266.0275331	1	23	326	3	1.308913447	foil	images/326.JPG
278.0248802	1	24	133	4	1.022769969	target	images/133.JPG
290.0389949	1	25	253	0	0	lure	images/253.JPG
302.0195533	1	26	281	2	1.330176319	lure	images/281.JPG
314.0337057	1	27	291	3	1.716014226	lure	images/291.JPG
326.0309484	1	28	318	2	1.182222671	foil	images/318.JPG
338.0283061	1	29	141	4	1.159658585	target	images/141.JPG
350.0256344	1	30	213	2	1.074129417	lure	images/213.JPG
362.0229652	1	31	271	4	0.811973656	lure	images/271.JPG
374.0203144	1	32	304	2	1.23729058	foil	images/304.JPG
386.0343636	1	33	111	4	1.19857517	target	images/111.JPG
398.0150967	1	34	175	4	0.95323889	target	images/175.JPG
410.0290411	1	35	314	2	1.194536269	foil	images/314.JPG
422.0431451	1	36	231	2	1.883680417	lure	images/231.JPG
