onset	duration	TrialID	WordID	response	response_time	stim_type	stim_file
2.031060806	1	1	328	1	0.847923382	foil	images/328.JPG
14.02830987	1	2	329	1	0.67404873	foil	images/329.JPG
26.02554182	1	3	330	1	0.947900354	foil	images/330.JPG
38.03953143	1	4	193	4	0.901083596	target	images/193.JPG
50.03674501	1	5	303	1	0.823277981	foil	images/303.JPG
62.03401077	1	6	214	3	2.097121044	lure	images/214.JPG
74.03123844	1	7	307	1	0.77925834	foil	images/307.JPG
86.02848151	1	8	242	1	1.037185197	lure	images/242.JPG
98.04243307	1	9	117	4	0.982289374	target	images/117.JPG
110.0396874	1	10	261	4	0.880261638	lure	images/261.JPG
122.0369321	1	11	161	4	1.036139953	target	images/161.JPG
134.034146	1	12	319	1	0.796229206	foil	images/319.JPG
146.0314058	1	13	133	4	1.054891414	target	images/133.JPG
158.0286688	1	14	274	3	1.200245047	lure	images/274.JPG
170.0426214	1	15	251	4	0.889359493	lure	images/251.JPG
182.0398285	1	16	323	1	0.923559709	foil	images/323.JPG
194.0370767	1	17	147	4	0.773373817	target	images/147.JPG
206.0343333	1	18	211	2	1.103298982	lure	images/211.JPG
218.0315843	1	19	135	4	1.153276124	target	images/135.JPG
230.0288141	1	20	224	1	0.931417011	lure	images/224.JPG
242.0260725	1	21	283	1	1.149204341	lure	images/283.JPG
254.0399929	1	22	325	1	0.854526135	foil	images/325.JPG
266.0372437	1	23	183	4	0.920516005	target	images/183.JPG
278.0345035	1	24	185	4	0.69046222	target	images/185.JPG
290.0317375	1	25	262	1	0.884425575	lure	images/262.JPG
302.0289665	1	26	197	4	0.61443262	target	images/197.JPG
314.0262403	1	27	173	4	0.800364424	target	images/173.JPG
326.0568921	1	28	231	1	0.99293074	lure	images/231.JPG
338.0374123	1	29	291	2	1.139575388	lure	images/291.JPG
350.034655	1	30	121	4	0.85360716	target	images/121.JPG
362.031889	1	31	313	1	0.871763662	foil	images/313.JPG
374.0291402	1	32	294	1	1.11349738	lure	images/294.JPG
386.0264007	1	33	312	1	1.036061412	foil	images/312.JPG
398.0403481	1	34	318	1	0.916777184	foil	images/318.JPG
410.0375831	1	35	155	4	0.69491636	target	images/155.JPG
422.0348398	1	36	304	1	0.792716427	foil	images/304.JPG
