onset	duration	TrialID	WordID	stim_file
8.014299753	1	2	158	sounds/158.wav
20.01098127	1	3	152	sounds/152.wav
32.00772191	1	4	153	sounds/153.wav
44.02111597	1	5	151	sounds/151.wav
56.01783219	1	6	156	sounds/156.wav
68.01453068	1	7	155	sounds/155.wav
80.01122759	1	8	154	sounds/154.wav
92.00799833	1	9	157	sounds/157.wav
110.0196993	1	11	128	sounds/128.wav
122.0164202	1	12	123	sounds/123.wav
134.0131304	1	13	126	sounds/126.wav
146.0103456	1	14	127	sounds/127.wav
158.0069577	1	15	125	sounds/125.wav
170.0203428	1	16	121	sounds/121.wav
182.017065	1	17	122	sounds/122.wav
194.013776	1	18	124	sounds/124.wav
212.0088581	1	20	165	sounds/165.wav
224.0056307	1	21	162	sounds/162.wav
236.0189251	1	22	161	sounds/161.wav
248.0156572	1	23	167	sounds/167.wav
260.012361	1	24	166	sounds/166.wav
272.0090915	1	25	168	sounds/168.wav
284.0058623	1	26	163	sounds/163.wav
296.01917	1	27	164	sounds/164.wav
