onset	duration	TrialID	WordID	stim_file
8.016909155	1	2	158	sounds/158.wav
20.01363232	1	3	152	sounds/152.wav
32.01034645	1	4	153	sounds/153.wav
44.00708192	1	5	151	sounds/151.wav
56.02007151	1	6	156	sounds/156.wav
68.01716929	1	7	155	sounds/155.wav
80.01388581	1	8	154	sounds/154.wav
92.01060438	1	9	157	sounds/157.wav
110.0218484	1	11	128	sounds/128.wav
122.0185802	1	12	123	sounds/123.wav
134.0157845	1	13	126	sounds/126.wav
146.0125112	1	14	127	sounds/127.wav
158.0092367	1	15	125	sounds/125.wav
170.02209	1	16	121	sounds/121.wav
182.018805	1	17	122	sounds/122.wav
194.0160451	1	18	124	sounds/124.wav
212.0111348	1	20	165	sounds/165.wav
224.0078547	1	21	162	sounds/162.wav
236.0206709	1	22	161	sounds/161.wav
248.0179396	1	23	167	sounds/167.wav
260.0146668	1	24	166	sounds/166.wav
272.0113921	1	25	168	sounds/168.wav
284.0081019	1	26	163	sounds/163.wav
296.0208967	1	27	164	sounds/164.wav
