onset	duration	TrialID	WordID	response	response_time	stim_type	stim_file
2.0083009	1	1	328	1	1.847168789	foil	images/328.JPG
14.02164351	1	2	329	1	1.601427368	foil	images/329.JPG
26.0183548	1	3	330	2	1.300332988	foil	images/330.JPG
38.01506164	1	4	326	3	1.799128928	foil	images/326.JPG
50.01185873	1	5	315	2	1.730043412	foil	images/315.JPG
62.02515289	1	6	274	4	1.476173307	lure	images/274.JPG
74.02187546	1	7	294	4	2.166980816	lure	images/294.JPG
86.01859462	1	8	123	4	1.418104394	target	images/123.JPG
98.01532472	1	9	305	3	1.764918844	foil	images/305.JPG
110.0120233	1	10	324	1	1.455642878	foil	images/324.JPG
122.0088245	1	11	191	4	1.314354193	target	images/191.JPG
134.0221221	1	12	234	1	1.668604646	lure	images/234.JPG
146.0188505	1	13	307	3	1.695485	foil	images/307.JPG
158.0155782	1	14	254	3	1.826273734	lure	images/254.JPG
170.0122847	1	15	320	1	1.9731434	foil	images/320.JPG
182.0256599	1	16	151	4	1.29539222	target	images/151.JPG
194.0223613	1	17	171	4	1.618232549	target	images/171.JPG
206.0190756	1	18	262	3	1.565153327	lure	images/262.JPG
218.0158074	1	19	117	2	1.951933196	target	images/117.JPG
230.0126218	1	20	125	4	1.874625885	target	images/125.JPG
242.0258973	1	21	316	1	1.812974849	foil	images/316.JPG
254.0226113	1	22	242	2	2.143903369	lure	images/242.JPG
266.0193158	1	23	243	3	1.410665188	lure	images/243.JPG
278.0160394	1	24	173	4	1.453574474	target	images/173.JPG
290.0128719	1	25	253	4	1.408326757	lure	images/253.JPG
302.0261529	1	26	223	1	2.010587803	lure	images/223.JPG
314.0228553	1	27	224	3	1.565409226	lure	images/224.JPG
326.0195662	1	28	161	4	1.640283663	target	images/161.JPG
338.0162741	1	29	214	2	1.539161778	lure	images/214.JPG
350.0131254	1	30	283	3	1.613851734	lure	images/283.JPG
362.0098573	1	31	153	4	1.392685695	target	images/153.JPG
374.023103	1	32	303	1	1.698960165	foil	images/303.JPG
386.0197958	1	33	312	1	1.453852268	foil	images/312.JPG
398.0166687	1	34	183	3	1.864573945	target	images/183.JPG
410.0133958	1	35	143	4	1.595369691	target	images/143.JPG
422.026626	1	36	133	4	1.59786257	target	images/133.JPG
