onset	duration	TrialID	WordID	stim_file
8.023077421	1	2	124	sounds/124.wav
20.0205187	1	3	126	sounds/126.wav
32.0346666	1	4	122	sounds/122.wav
44.0153917	1	5	123	sounds/123.wav
56.02955758	1	6	127	sounds/127.wav
68.02700792	1	7	125	sounds/125.wav
80.0244365	1	8	128	sounds/128.wav
92.02187172	1	9	121	sounds/121.wav
110.0180365	1	11	113	sounds/113.wav
122.0322187	1	12	116	sounds/116.wav
134.0129477	1	13	112	sounds/112.wav
146.0270784	1	14	115	sounds/115.wav
158.0245337	1	15	114	sounds/114.wav
170.0219714	1	16	117	sounds/117.wav
182.0361367	1	17	111	sounds/111.wav
194.0168744	1	18	118	sounds/118.wav
212.0130221	1	20	156	sounds/156.wav
224.0271734	1	21	152	sounds/152.wav
236.0246099	1	22	154	sounds/154.wav
248.0220763	1	23	155	sounds/155.wav
260.0195103	1	24	158	sounds/158.wav
272.0336509	1	25	153	sounds/153.wav
284.0143923	1	26	157	sounds/157.wav
296.0285623	1	27	151	sounds/151.wav
