onset	duration	TrialID	WordID	response	response_time	stim_type	stim_file
2.031484216	1	37	331	1	1.047649866	foil	images/331.JPG
14.02888304	1	38	332	1	0.833690744	foil	images/332.JPG
26.0263679	1	39	333	1	0.8196229	foil	images/333.JPG
38.04058256	1	40	111	4	1.268835955	target	images/111.JPG
50.03805671	1	41	321	1	1.142863563	foil	images/321.JPG
62.03549706	1	42	135	4	0.79296779	target	images/135.JPG
74.03301359	1	43	252	3	1.586807063	lure	images/252.JPG
86.0304351	1	44	113	4	0.916894596	target	images/113.JPG
98.04473451	1	45	234	3	0.918032745	lure	images/234.JPG
110.0422699	1	46	185	1	1.231931086	target	images/185.JPG
122.0396276	1	47	324	4	1.186167148	foil	images/324.JPG
134.0372028	1	48	165	4	0.931970465	target	images/165.JPG
146.0345866	1	49	123	1	1.150062279	target	images/123.JPG
158.0322868	1	50	177	4	1.263810808	target	images/177.JPG
170.0295739	1	51	173	4	0.849973248	target	images/173.JPG
182.0271833	1	52	306	4	1.211902836	foil	images/306.JPG
194.0412858	1	53	292	4	1.341164687	lure	images/292.JPG
206.0388456	1	54	244	3	1.255089995	lure	images/244.JPG
218.0363082	1	55	314	1	1.313078652	foil	images/314.JPG
230.0338474	1	56	262	1	1.195005243	lure	images/262.JPG
242.0313451	1	57	143	4	0.813119743	target	images/143.JPG
254.0287589	1	58	274	3	1.616	lure	images/274.JPG
266.0262836	1	59	312	1	1.592978491	foil	images/312.JPG
278.0572379	1	60	211	2	1.417540503	lure	images/211.JPG
290.0378714	1	61	326	1	1.092650187	foil	images/326.JPG
302.0353524	1	62	302	1	0.943060032	foil	images/302.JPG
314.0330204	1	63	141	4	1.036123703	target	images/141.JPG
326.0305502	1	64	294	1	1.457984377	lure	images/294.JPG
338.04469	1	65	241	3	1.347351097	lure	images/241.JPG
350.042034	1	66	308	2	1.605397539	foil	images/308.JPG
362.0395801	1	67	153	4	0.879403745	target	images/153.JPG
374.0371527	1	68	191	4	1.057273408	target	images/191.JPG
386.0346063	1	69	283	2	1.571244944	lure	images/283.JPG
398.0321113	1	70	223	1	1.069191225	lure	images/223.JPG
410.0295011	1	71	318	1	1.055281755	foil	images/318.JPG
422.0437184	1	72	212	4	1.424497378	lure	images/212.JPG
