onset	duration	TrialID	WordID	stim_file
8.013592782	1	2	158	sounds/158.wav
20.02787085	1	3	154	sounds/154.wav
32.02544816	1	4	156	sounds/156.wav
44.02296297	1	5	155	sounds/155.wav
56.02054027	1	6	152	sounds/152.wav
68.03465483	1	7	151	sounds/151.wav
80.01558915	1	8	157	sounds/157.wav
92.02978761	1	9	153	sounds/153.wav
110.0260971	1	11	187	sounds/187.wav
122.040379	1	12	181	sounds/181.wav
134.0212016	1	13	188	sounds/188.wav
146.0354437	1	14	184	sounds/184.wav
158.0162821	1	15	186	sounds/186.wav
170.0305962	1	16	185	sounds/185.wav
182.0280823	1	17	183	sounds/183.wav
194.0256502	1	18	182	sounds/182.wav
212.0219134	1	20	128	sounds/128.wav
224.0194436	1	21	121	sounds/121.wav
236.0336374	1	22	125	sounds/125.wav
248.0145289	1	23	127	sounds/127.wav
260.0287937	1	24	122	sounds/122.wav
272.0263278	1	25	126	sounds/126.wav
284.0239124	1	26	123	sounds/123.wav
296.0214909	1	27	124	sounds/124.wav
